,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.ceasedmembership,data.properties.certificateNumber,data.properties.citizenship,data.properties.city,data.properties.classification,data.properties.classofshares,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.custodianaddress,data.properties.custodianname,data.properties.dateofissue,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.newcertificate,data.properties.numbershares,data.properties.passport_copy,data.properties.pep,data.properties.prospect_date,data.properties.region,data.properties.registerlocation,data.properties.registrationDate,data.properties.rst,data.properties.sharestransferred,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.properties.transferdate,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.digest.2.edgeType,data.statistics.digest.2.edges,data.statistics.digest.2.nodeCategories.0,data.statistics.digest.2.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,size,x,y
20,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,561708,,,BVI,KNIGHTSBRIDGE COMMERCIAL ESTATES LIMITED,,,,,,,,17-MAR-2004,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,2,2,True,0,0,2,True,top-right,#fff,,FontAwesome,1,168342,KNIGHTSBRIDGE COMMERCIAL ESTATES LIMITED,True,-163.353,41.959,5,-163.353,41.959,8.17416382687,1051.66622358,355.292643645,1,-163.353,41.959
21,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,529633,,,BVI,MARYLEBONE PROPERTIES LIMITED -EX- PACIFIC MAY,,,,,,,,25-JAN-1999,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,172555,MARYLEBONE PROPERTIES LIMITED -EX- PACIFIC MAY,True,-164.167,92.84,5,-164.167,92.84,8.17416382687,1050.16146762,449.350982568,1,-164.167,92.84
22,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,550461,,,BVI,LANCELOT PLACE PROPERTIES LIMITED,,,,,,,,12-SEP-2002,,,MOR,30-APR-2013,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,2,2,True,0,0,2,True,top-right,#fff,,FontAwesome,1,178308,LANCELOT PLACE PROPERTIES LIMITED,True,-166.202,70.045,5,-166.202,70.045,8.17416382687,1046.39957773,407.212269969,1,-166.202,70.045
23,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,581671,,,BVI,West End  Green Limited [DEVONSHIRE HOUSE (NO. 2) LIMITED],,,,,,,,24-OCT-2006,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,2,3,True,0,0,2,True,top-right,#fff,,FontAwesome,1,208828,West End  Green Limited [DEVONSHIRE HOUSE (NO. 2) LIMITED],True,-162.946,176.286,5,-162.946,176.286,8.17416382687,1052.41860156,603.608802772,1,-162.946,176.286
24,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,584447,,,BVI,Hans Crescent Holdings Limited,,,,,,,,05-FEB-2007,,,ACT,,,,is officer of,2,Officer,2,registered,1.0,Client,1.0,,,,,3,1,2,True,0,0,1,True,top-right,#fff,,FontAwesome,1,210238,Hans Crescent Holdings Limited,True,-163.76,25.677,5,-163.76,25.677,8.17416382687,1050.9138456,325.193827302,1,-163.76,25.677
25,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521576,,,BVI,JEFFERSON HOUSE LIMITED,,,,,,,,21-APR-1997,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,1,4,True,0,0,1,True,top-right,#fff,,FontAwesome,1,221515,JEFFERSON HOUSE LIMITED,True,-163.76,33.818,5,-163.76,33.818,8.17416382687,1050.9138456,340.243235473,1,-163.76,33.818
26,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,570010,,,BVI,MAYFAIR COMMERCIAL LIMITED (EX-MAYFAIR COMMERCIAL LTD),,,,,,,,14-APR-2005,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,230780,MAYFAIR COMMERCIAL LIMITED (EX-MAYFAIR COMMERCIAL LTD),True,-164.981,104.645,5,-164.981,104.645,8.17416382687,1048.65671167,471.173641144,1,-164.981,104.645
27,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,518304,,,BVI,STEPHANUS PROPERTIES LIMITED,,,,,,,,18-JUL-1996,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,3,3,True,0,0,3,True,top-right,#fff,,FontAwesome,1,243302,STEPHANUS PROPERTIES LIMITED,True,-163.76,162.039,5,-163.76,162.039,8.17416382687,1050.9138456,577.271876323,1,-163.76,162.039
28,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521588,,,BVI,FARM STREET ESTATES LIMITED,,,,,,,,16-APR-1997,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,1,4,True,0,0,1,True,top-right,#fff,,FontAwesome,1,245626,FARM STREET ESTATES LIMITED,True,-163.123,-1.959,5,-163.123,-1.959,8.17416382687,1052.09140033,274.106068522,1,-163.123,-1.959
29,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,553624,,,BVI,HANS CRESCENT ESTATES LIMITED,,,,,,,,12-MAR-2003,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,3,2,True,0,0,3,True,top-right,#fff,,FontAwesome,1,247722,HANS CRESCENT ESTATES LIMITED,True,-163.353,18.35,5,-163.353,18.35,8.17416382687,1051.66622358,311.649175088,1,-163.353,18.35
30,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,581288,,,BVI,De Vere Estates Limited [DEVONSHIRE HOUSE (NO. 1) LIMITED],,,,,,,,24-OCT-2006,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,2,2,True,0,0,2,True,top-right,#fff,,FontAwesome,1,253209,De Vere Estates Limited [DEVONSHIRE HOUSE (NO. 1) LIMITED],True,-163.686,-24.461,5,-163.686,-24.461,8.17416382687,1051.0506416,232.508994123,1,-163.686,-24.461
31,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,558002,,,BVI,CLEMENTINE COMMERCIAL PROPERTIES LIMITED,,,,,,,,26-FEB-2004,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,2,3,True,0,0,2,True,top-right,#fff,,FontAwesome,1,256958,CLEMENTINE COMMERCIAL PROPERTIES LIMITED,True,-161.998,-47.525,5,-161.998,-47.525,8.17416382687,1054.17106919,189.873009592,1,-161.998,-47.525
32,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,548221,,,BVI,ELSTREE ESTATES LIMITED,,,,,,,,17-JUL-2002,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,3,3,True,0,0,3,True,top-right,#fff,,FontAwesome,1,261656,ELSTREE ESTATES LIMITED,True,-164.248,-9.835,5,-164.248,-9.835,8.17416382687,1050.01173147,259.546537904,1,-164.248,-9.835
33,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,40119,,,FOREIGN,60 BROMPTON ROAD MANAGEMENT COMPANY LIMITED,,,,,,,,21-DEC-2006,,,MOR,15-JAN-2009,,,is officer of,10,Officer,10,registered,1.0,Client,1.0,,,,,11,9,2,True,0,0,9,True,top-right,#fff,,FontAwesome,1,263217,60 BROMPTON ROAD MANAGEMENT COMPANY LIMITED,True,-163.76,200.709,5,-163.76,200.709,8.17416382687,1050.9138456,648.757027287,1,-163.76,200.709
34,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,6011837,,,BVI,Boston House Properties Limited [Knightsbridge Estate Properties Limited],,,,,,,,22-APR-2010,,,ACT,,,,is officer of,2,Officer,2,registered,1.0,Client,1.0,,,,,3,0,3,True,0,0,0,False,top-right,#fff,,FontAwesome,1,277479,Boston House Properties Limited [Knightsbridge Estate Properties Limited],True,-161.998,-82.403,5,-161.998,-82.403,8.17416382687,1054.17106919,125.397729135,1,-161.998,-82.403
35,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,6019341,,14-MAY-2012,BVI,Boston House Properties Limited,,,,,,,,22-APR-2010,,,INA,31-OCT-2011,,,is officer of,1,Officer,1,registered,1.0,Client,1.0,,,,,2,0,2,True,0,0,0,False,top-right,#fff,,FontAwesome,1,253328,Boston House Properties Limited,True,-163.686,-62.714,5,-163.686,-62.714,8.17416382687,1051.0506416,161.794707084,1,-163.686,-62.714
36,#851d00,#851d00,Client,,,,,,,,,HOLMAN FENWICK WILLAN LLP,29160,,,,,,,,,,,HOLMAN FENWICK WILLAN LLP,,,,,,,,,,,,,,,registered,1,Company,1,,,,,,,,,1,0,1,True,0,0,0,False,top-right,#fff,,FontAwesome,1,588190,HOLMAN FENWICK WILLAN LLP,True,-193.882,75.744,5,-193.882,75.744,8.17416382687,995.230480789,417.747410267,1,-193.882,75.744
